Date;Open;High;Low;Close;Adj close;Volume
Jun 20, 2024;5499.99;5505.53;5455.56;5473.17;5473.17;3847060000
Jun 18, 2024;5476.15;5490.38;5471.32;5487.03;5487.03;3544330000
Jun 17, 2024;5431.11;5488.50;5420.40;5473.23;5473.23;3447840000
Jun 14, 2024;5424.08;5432.39;5403.75;5431.60;5431.60;3438650000
Jun 13, 2024;5441.93;5441.93;5402.51;5433.74;5433.74;3530380000
Jun 12, 2024;5409.13;5447.25;5409.13;5421.03;5421.03;3962840000
Jun 11, 2024;5353.00;5375.95;5327.25;5375.32;5375.32;3568030000
Jun 10, 2024;5341.22;5365.79;5331.52;5360.79;5360.79;3622280000
Jun 07, 2024;5343.81;5375.08;5331.33;5346.99;5346.99;3692760000
Jun 06, 2024;5357.80;5362.35;5335.36;5352.96;5352.96;3609990000
Jun 05, 2024;5314.48;5354.16;5297.64;5354.03;5354.03;3591460000
Jun 04, 2024;5278.24;5298.80;5257.63;5291.34;5291.34;3707900000
Jun 03, 2024;5297.15;5302.11;5234.32;5283.40;5283.40;4046920000
May 31, 2024;5243.21;5280.33;5191.68;5277.51;5277.51;5437160000
May 30, 2024;5259.77;5260.21;5222.10;5235.48;5235.48;3818750000
May 29, 2024;5278.73;5282.27;5262.70;5266.95;5266.95;3552750000
May 28, 2024;5315.91;5315.91;5280.89;5306.04;5306.04;3751540000
May 24, 2024;5281.45;5311.65;5278.39;5304.72;5304.72;3005510000
May 23, 2024;5340.26;5341.88;5256.93;5267.84;5267.84;3869520000
May 22, 2024;5319.28;5323.18;5286.01;5307.01;5307.01;3847130000
May 21, 2024;5298.69;5324.32;5297.87;5321.41;5321.41;3662240000
May 20, 2024;5305.35;5325.32;5302.40;5308.13;5308.13;3420100000
May 17, 2024;5303.10;5305.45;5283.59;5303.27;5303.27;3578120000
May 16, 2024;5310.07;5325.49;5296.19;5297.10;5297.10;3817470000
May 15, 2024;5263.26;5311.76;5263.26;5308.15;5308.15;4360810000
May 14, 2024;5221.10;5250.37;5217.98;5246.68;5246.68;4763580000
May 13, 2024;5233.08;5237.26;5211.16;5221.42;5221.42;4255710000
May 10, 2024;5225.49;5239.66;5209.68;5222.68;5222.68;3617900000
May 09, 2024;5189.03;5215.30;5180.41;5214.08;5214.08;3727370000
